range,optimal_x,optimal_y
131,569.3244,264.1321
132,569.3178,264.1388
133,508.1661,227.4189
134,507.5050,228.1690
135,507.5366,228.1386
136,508.5429,227.0103
137,509.2639,226.2020
138,509.8204,225.5780
139,565.4567,268.3639
140,565.4487,268.3728
141,565.4415,268.3810
142,507.7855,227.8595
143,507.7858,227.8591
144,507.7859,227.8591
145,507.7862,227.8586
146,507.7865,227.8582
147,507.7868,227.8578
148,502.8578,233.3843
149,560.1611,274.3015
150,565.1075,268.7555
151,565.1080,268.7549
152,565.1128,268.7495
153,565.1437,268.7149
154,560.1760,274.2847
155,560.1782,274.2822
156,560.1799,274.2804
157,560.1813,274.2789
158,560.2030,274.2544
159,555.2533,279.8040
160,555.2549,279.8022
161,555.2563,279.8007
162,555.2574,279.7995
163,555.2584,279.7986
164,555.2756,279.7790
165,555.2741,279.7808
166,555.2553,279.8021
167,555.2126,279.8510
168,555.2125,279.8512
169,555.2123,279.8513
170,555.2122,279.8514
171,555.2120,279.8516
172,560.1497,274.3151
173,560.1495,274.3153
174,560.1494,274.3154
175,560.1492,274.3156
176,560.1490,274.3158
177,560.1488,274.3160
178,560.1487,274.3161
179,560.1485,274.3163
180,560.1483,274.3165
181,560.1481,274.3167
182,560.1479,274.3169
183,560.1477,274.3170
184,565.0850,268.7812
185,565.0847,268.7815
186,512.8424,222.1894
187,512.5166,222.5547
188,512.5115,222.5607
189,512.5058,222.5664
190,512.4980,222.5754
191,512.4901,222.5844
192,512.4821,222.5932
193,512.4740,222.6020
194,512.4636,222.6139
195,512.4531,222.6258
196,512.4424,222.6375
197,512.4294,222.6524
198,512.4162,222.6671
199,490.3117,240.7433
200,489.3105,241.4129
201,488.3470,240.1253
202,487.2662,239.7268
203,650.8276,842.8557
204,650.7804,842.9266
205,650.7241,843.0110
206,650.6643,843.1008
207,650.5533,843.2789
208,651.1831,842.5027
209,652.0399,841.9871
210,654.9171,836.7216
211,654.8568,836.8120
212,654.7941,836.9060
213,654.7225,837.0134
214,654.5630,837.2589
215,655.2308,836.6227
216,656.1707,836.1944
217,657.2728,835.7712
218,658.9387,830.6892
219,658.8738,830.7865
220,658.7999,830.8973
221,658.7430,830.9826
222,659.2176,830.6717
223,659.8384,829.8873
224,660.6791,829.3457
225,663.0417,824.5345
226,662.9856,824.6187
227,662.9240,824.7111
228,662.8786,824.7793
229,663.1478,824.6935
230,663.7713,823.9079
231,664.6000,823.3377
232,671.2440,791.1576
233,671.2417,791.1462
234,671.2397,791.1367
235,671.2380,791.1277
236,671.2363,791.1202
237,671.2341,791.1094
238,669.7406,783.9141
239,669.7388,783.9048
240,669.7372,783.8971
241,669.7357,783.8903
242,669.7344,783.8835
243,669.7333,783.8783
244,668.2408,776.6874
245,668.2384,776.6761
246,668.2365,776.6662
247,668.2347,776.6580
248,668.2332,776.6508
249,668.2319,776.6442
250,668.2307,776.6385
251,598.1317,783.3501
252,598.1318,783.3506
253,598.1246,783.3154
254,598.1233,783.3097
255,598.1234,783.3100
256,598.1239,783.3136
257,598.1221,783.3040
258,596.6215,776.0760
259,596.6205,776.0684
260,696.3340,322.8135
261,696.3336,322.8148
262,626.2333,330.2632
263,626.2333,330.2632
264,624.4336,321.2004
265,624.4324,321.2014
266,624.4335,321.2005
267,624.4325,321.2013
268,624.4316,321.2021
269,624.4308,321.2029
270,624.4321,321.2018
271,624.4325,321.2012
272,624.4322,321.2017
273,619.0084,326.2514
274,619.0074,326.2522
275,619.0067,326.2530
276,613.5844,331.3012
277,613.5832,331.3024
278,613.5821,331.3035
279,608.1625,336.3494
280,608.1604,336.3512
281,608.1586,336.3527
282,608.1571,336.3542
283,602.6206,341.3724
284,602.6206,341.3724
285,602.6206,341.3724
286,602.6206,341.3724
287,602.6206,341.3724
288,618.3951,335.7625
289,610.9428,410.2743
290,610.2294,409.4898
291,609.3068,408.8291
292,608.3998,407.6717
293,618.3951,335.7625
294,622.6236,405.7350
295,615.2335,406.1874
296,615.2344,406.1872
297,615.2352,406.1873
298,615.2354,406.1872
299,615.2353,406.1873
300,615.2350,406.1873
301,615.2362,406.1872
302,615.2218,406.1881
303,607.9843,408.9341
304,608.1963,409.9334
305,608.9330,439.4311
306,609.8624,437.5638
307,609.4303,436.7713
308,608.3071,436.1981
309,607.5666,435.4367
