range,optimal_x,optimal_y
1150,139.2727,56.5871
1151,139.2727,56.5871
1152,139.2727,56.5871
1153,139.2727,56.5871
1154,133.7843,51.5927
1155,133.7843,51.5927
1156,133.7843,51.5927
1157,133.7843,51.5927
1158,133.7843,51.5927
1159,133.7843,51.5927
1160,133.7843,51.5927
1161,128.2960,46.5983
1162,128.2960,46.5983
1163,128.2960,46.5983
1164,128.2960,46.5983
1165,128.2960,46.5983
1166,128.2960,46.5983
1167,128.2960,46.5983
1168,122.8077,41.6039
1169,122.8077,41.6039
1170,122.8077,41.6039
1171,122.8077,41.6039
1172,122.8077,41.6039
1173,122.8077,41.6039
1174,122.8077,41.6039
1175,117.3193,36.6095
1176,117.3193,36.6095
1177,117.3193,36.6095
1178,117.3193,36.6095
1179,117.3193,36.6095
1180,117.3193,36.6095
1181,117.3193,36.6095
1182,111.8310,31.6151
1183,111.8310,31.6151
1184,111.8310,31.6151
1185,111.8310,31.6151
1186,111.8310,31.6151
1187,111.8310,31.6151
1188,111.8310,31.6151
1189,106.3427,26.6208
1190,106.3427,26.6208
1191,106.3427,26.6208
1192,106.3427,26.6208
1193,106.3427,26.6208
1194,106.3427,26.6208
1195,106.3427,26.6208
1196,100.8543,21.6264
1197,100.8543,21.6264
1198,100.8543,21.6264
1199,100.8543,21.6264
1200,100.8543,21.6264
1201,100.8543,21.6264
1202,100.8543,21.6264
1203,95.3660,16.6320
1204,95.3660,16.6320
1205,95.3660,16.6320
1206,95.3660,16.6320
1207,95.3660,16.6320
1208,95.3660,16.6320
1209,95.3660,16.6320
1210,89.8777,11.6376
1211,89.8777,11.6376
1212,89.8777,11.6376
1213,89.8777,11.6376
1214,89.8777,11.6376
1215,89.8777,11.6376
1216,89.8777,11.6376
1217,84.3893,6.6432
1218,84.3893,6.6432
1219,84.3893,6.6432
1220,84.3893,6.6432
1221,84.3893,6.6432
1222,84.3893,6.6432
1223,84.3893,6.6432
1224,78.9010,1.6488
1225,78.9010,1.6488
1226,78.9010,1.6488
1227,78.9010,1.6488
1228,78.9010,1.6488
1229,78.9010,1.6488
1230,78.9010,1.6488
1231,73.4127,0.0000
1232,73.4127,0.0000
1233,73.4127,0.0000
1234,73.4127,0.0000
1235,73.4127,0.0000
1236,73.4127,0.0000
1237,73.4127,0.0000
1238,67.9243,0.0000
1239,67.9243,0.0000
1240,67.9243,0.0000
1241,67.9243,0.0000
1242,67.9243,0.0000
1243,67.9243,0.0000
1244,67.9243,0.0000
1245,62.4360,0.0000
1246,62.4360,0.0000
1247,62.4360,0.0000
1248,62.4360,0.0000
1249,62.4360,0.0000
1250,62.4360,0.0000
1251,62.4360,0.0000
1252,56.9477,0.0000
1253,56.9477,0.0000
1254,56.9477,0.0000
1255,56.9477,0.0000
1256,56.9477,0.0000
1257,56.9477,0.0000
1258,56.9477,0.0000
1259,51.4593,0.0000
1260,51.4593,0.0000
1261,51.4593,0.0000
1262,51.4593,0.0000
1263,51.4593,0.0000
1264,51.4593,0.0000
1265,51.4593,0.0000
1266,45.9710,0.0000
1267,45.9710,0.0000
1268,45.9710,0.0000
1269,45.9710,0.0000
1270,45.9710,0.0000
1271,45.9710,0.0000
1272,45.9710,0.0000
1273,40.4827,0.0000
1274,40.4827,0.0000
1275,40.4827,0.0000
1276,40.4827,0.0000
1277,40.4827,0.0000
1278,40.4827,0.0000
1279,40.4827,0.0000
1280,34.9943,0.0000
1281,34.9943,0.0000
1282,34.9943,0.0000
1283,34.9943,0.0000
1284,34.9943,0.0000
1285,34.9943,0.0000
1286,34.9943,0.0000
1287,29.5060,0.0000
1288,29.5060,0.0000
1289,29.5060,0.0000
1290,29.5060,0.0000
1291,29.5060,0.0000
1292,29.5060,0.0000
1293,29.5060,0.0000
1294,24.0177,0.0000
1295,24.0177,0.0000
1296,24.0177,0.0000
1297,24.0177,0.0000
1298,24.0177,0.0000
1299,24.0177,0.0000
1300,24.0177,0.0000
1301,24.0177,0.0000
1302,18.5293,0.0000
1303,18.5293,0.0000
1304,18.5293,0.0000
1305,18.5293,0.0000
1306,18.5293,0.0000
1307,18.5293,0.0000
1308,18.5293,0.0000
1309,13.0410,0.0000
1310,13.0410,0.0000
1311,13.0410,0.0000
1312,13.0410,0.0000
1313,13.0410,0.0000
1314,13.0410,0.0000
1315,13.0410,0.0000
1316,7.5527,0.0000
1317,7.5527,0.0000
1318,7.5527,0.0000
1319,7.5527,0.0000
1320,7.5527,0.0000
1321,7.5527,0.0000
1322,7.5527,0.0000
1323,2.0643,0.0000
1324,2.0643,0.0000
1325,2.0643,0.0000
1326,2.0643,0.0000
1327,2.0643,0.0000
1328,2.0643,0.0000
1329,2.0643,0.0000
1330,0.0000,0.0000
1331,0.0000,0.0000
1332,0.0000,0.0000
1333,0.0000,0.0000
1334,0.0000,0.0000
1335,0.0000,0.0000
1336,0.0000,0.0000
1337,0.0000,0.0000
1338,0.0000,0.0000
1339,0.0000,0.0000
1340,0.0000,0.0000
1341,0.0000,0.0000
1342,0.0000,0.0000
1343,0.0000,0.0000
1344,0.0000,0.0000
1345,0.0000,0.0000
1346,0.0000,0.0000
1347,0.0000,0.0000
1348,0.0000,0.0000
1349,0.0000,0.0000
1350,0.0000,0.0000
1351,0.0000,0.0000
1352,0.0000,0.0000
1353,0.0000,0.0000
1354,0.0000,0.0000
1355,0.0000,0.0000
1356,0.0000,0.0000
1357,0.0000,0.0000
1358,0.0000,0.0000
1359,0.0000,0.0000
1360,0.0000,0.0000
1361,0.0000,0.0000
1362,0.0000,0.0000
1363,0.0000,0.0000
1364,0.0000,0.0000
1365,0.0000,0.0000
1366,0.0000,0.0000
1367,0.0000,0.0000
1368,0.0000,0.0000
1369,0.0000,0.0000
1370,0.0000,0.0000
1371,0.0000,0.0000
1372,0.0000,0.0000
1373,0.0000,0.0000
1374,0.0000,0.0000
1375,0.0000,0.0000
1376,0.0000,0.0000
1377,0.0000,0.0000
1378,0.0000,0.0000
1379,0.0000,0.0000
1380,0.0000,0.0000
1381,0.0000,0.0000
1382,0.0000,0.0000
1383,0.0000,0.0000
1384,0.0000,0.0000
1385,0.0000,0.0000
1386,0.0000,0.0000
1387,0.0000,0.0000
1388,0.0000,0.0000
1389,0.0000,0.0000
1390,0.0000,0.0000
1391,0.0000,0.0000
1392,0.0000,0.0000
1393,0.0000,0.0000
1394,0.0000,0.0000
1395,0.0000,0.0000
1396,0.0000,0.0000
1397,0.0000,0.0000
1398,0.0000,0.0000
1399,0.0000,0.0000
1400,0.0000,0.0000
1401,0.0000,0.0000
1402,0.0000,0.0000
1403,0.0000,0.0000
1404,0.0000,0.0000
1405,0.0000,0.0000
1406,0.0000,0.0000
1407,0.0000,0.0000
1408,0.0000,0.0000
1409,0.0000,0.0000
1410,0.0000,0.0000
1411,0.0000,0.0000
1412,0.0000,0.0000
1413,0.0000,0.0000
1414,0.0000,0.0000
1415,0.0000,0.0000
1416,0.0000,0.0000
1417,0.0000,0.0000
1418,0.0000,0.0000
1419,0.0000,0.0000
1420,0.0000,0.0000
1421,0.0000,0.0000
1422,0.0000,0.0000
1423,0.0000,0.0000
1424,0.0000,0.0000
1425,0.0000,0.0000
1426,0.0000,0.0000
1427,0.0000,0.0000
1428,0.0000,0.0000
1429,0.0000,0.0000
1430,0.0000,0.0000
1431,0.0000,0.0000
1432,0.0000,0.0000
1433,0.0000,0.0000
1434,0.0000,0.0000
1435,0.0000,0.0000
1436,0.0000,0.0000
1437,0.0000,0.0000
1438,0.0000,0.0000
1439,0.0000,0.0000
1440,0.0000,0.0000
1441,0.0000,0.0000
1442,0.0000,0.0000
1443,0.0000,0.0000
1444,0.0000,0.0000
1445,0.0000,0.0000
1446,0.0000,0.0000
1447,0.0000,0.0000
1448,0.0000,0.0000
1449,0.0000,0.0000
1450,0.0000,0.0000
1451,0.0000,0.0000
1452,0.0000,0.0000
1453,0.0000,0.0000
1454,0.0000,0.0000
1455,0.0000,0.0000
1456,0.0000,0.0000
1457,0.0000,0.0000
1458,0.0000,0.0000
1459,0.0000,0.0000
1460,0.0000,0.0000
1461,0.0000,0.0000
1462,0.0000,0.0000
1463,0.0000,0.0000
1464,0.0000,0.0000
1465,0.0000,0.0000
1466,0.0000,0.0000
1467,0.0000,0.0000
1468,0.0000,0.0000
1469,0.0000,0.0000
1470,0.0000,0.0000
1471,0.0000,0.0000
1472,0.0000,0.0000
1473,0.0000,0.0000
1474,0.0000,0.0000
1475,0.0000,0.0000
1476,0.0000,0.0000
1477,0.0000,0.0000
1478,0.0000,0.0000
1479,0.0000,0.0000
1480,0.0000,0.0000
1481,0.0000,0.0000
1482,0.0000,0.0000
1483,0.0000,0.0000
1484,0.0000,0.0000
1485,0.0000,0.0000
1486,0.0000,0.0000
1487,0.0000,0.0000
1488,0.0000,0.0000
1489,0.0000,0.0000
1490,0.0000,0.0000
1491,0.0000,0.0000
1492,0.0000,0.0000
1493,0.0000,0.0000
1494,0.0000,0.0000
1495,0.0000,0.0000
1496,0.0000,0.0000
1497,0.0000,0.0000
1498,0.0000,0.0000
1499,0.0000,0.0000
1500,0.0000,0.0000
